,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,label
0,19,9,491,0,2,0.0,1.0,0.0,25,0.17,0.03,0.0,4
1,41,9,146,0,13,0.0,0.08,0.15,1,0.0,0.6,0.0,4
2,46,5,0,0,123,1.0,0.05,0.07,26,0.1,0.05,1.0,0
3,22,9,232,8153,5,0.2,1.0,0.0,255,1.0,0.0,0.03,4
4,22,9,199,420,30,0.0,1.0,0.0,255,1.0,0.0,0.0,4
5,46,1,0,0,121,0.0,0.16,0.06,19,0.07,0.07,0.0,0
6,46,5,0,0,166,1.0,0.05,0.06,9,0.04,0.05,1.0,0
7,46,5,0,0,117,1.0,0.14,0.06,15,0.06,0.07,1.0,0
8,48,5,0,0,270,1.0,0.09,0.05,23,0.09,0.05,1.0,0
9,46,5,0,0,133,1.0,0.06,0.06,13,0.05,0.06,1.0,0
10,46,1,0,0,205,0.0,0.06,0.06,12,0.05,0.07,0.0,0
11,46,5,0,0,199,1.0,0.02,0.06,13,0.05,0.07,1.0,0
12,22,9,287,2251,3,0.0,1.0,0.0,219,1.0,0.0,0.0,4
13,19,9,334,0,2,0.0,1.0,0.0,20,1.0,0.0,0.0,2
14,33,5,0,0,233,1.0,0.0,0.06,1,0.0,0.07,1.0,0
15,35,5,0,0,96,1.0,0.17,0.05,2,0.01,0.06,1.0,0
16,22,9,300,13788,8,0.0,1.0,0.0,255,1.0,0.0,0.0,4
17,13,9,18,0,1,0.0,1.0,0.0,16,1.0,0.0,0.0,1
18,22,9,233,616,3,0.0,1.0,0.0,255,1.0,0.0,0.0,4
19,22,9,343,1178,9,0.0,1.0,0.0,255,1.0,0.0,0.0,4
20,32,5,0,0,223,1.0,0.1,0.05,23,0.09,0.05,1.0,0
21,46,5,0,0,280,1.0,0.06,0.05,17,0.07,0.06,0.99,0
22,22,9,253,11905,8,0.0,1.0,0.0,255,1.0,0.0,0.0,4
23,41,9,147,105,1,0.0,1.0,0.0,1,0.0,0.85,0.0,4
24,32,5,0,0,248,1.0,0.01,0.06,2,0.01,0.06,1.0,0
25,57,9,437,14421,1,0.0,1.0,0.0,25,0.1,0.05,0.53,4
26,46,5,0,0,279,1.0,0.03,0.06,13,0.05,0.07,1.0,0
27,22,9,227,6588,5,0.0,1.0,0.0,255,1.0,0.0,0.0,4
28,22,9,215,10499,14,0.0,1.0,0.0,255,1.0,0.0,0.0,4
29,22,9,241,1400,33,0.0,1.0,0.0,255,1.0,0.0,0.0,4
30,13,9,8,0,1,0.0,1.0,0.0,53,1.0,0.0,0.0,1
31,17,5,0,0,57,1.0,0.28,0.07,59,0.23,0.04,1.0,0
32,22,9,303,555,9,0.0,1.0,0.0,255,1.0,0.0,0.0,4
33,46,1,0,0,2,0.0,0.5,1.0,1,0.0,0.31,0.0,1
34,11,9,45,45,181,0.0,1.0,0.0,250,0.98,0.01,0.0,4
35,46,9,105,147,2,0.0,1.0,0.0,5,0.12,0.05,0.0,4
36,11,9,43,43,122,0.0,1.0,0.0,255,1.0,0.0,0.0,4
37,55,5,0,0,205,1.0,0.08,0.06,17,0.07,0.07,1.0,0
38,22,9,324,2302,22,0.0,1.0,0.0,255,1.0,0.0,0.0,4
39,63,5,0,0,228,1.0,0.06,0.07,13,0.05,0.07,1.0,0
40,19,5,0,0,50,1.0,0.22,0.08,63,0.25,0.02,1.0,0
41,2,5,0,0,262,1.0,0.05,0.06,9,0.04,0.07,1.0,0
42,51,9,1591,372,1,0.0,1.0,0.0,147,0.81,0.02,0.0,4
43,41,9,146,105,4,0.0,0.5,0.5,2,0.01,0.66,0.0,4
44,22,9,290,3006,11,0.0,1.0,0.0,255,1.0,0.0,0.0,4
45,6,5,0,0,108,1.0,0.1,0.08,11,0.04,0.07,1.0,0
46,46,9,28,0,80,0.0,1.0,0.0,80,0.31,0.02,0.0,0
47,22,9,255,861,44,0.02,1.0,0.0,255,1.0,0.0,0.0,4
48,19,9,334,0,2,0.0,1.0,0.0,38,1.0,0.0,0.0,2
49,19,5,0,0,258,1.0,0.07,0.05,5,0.02,0.07,1.0,0
50,22,9,302,498,10,0.0,1.0,0.0,255,1.0,0.0,0.0,4
51,46,1,0,0,61,0.0,0.07,0.1,4,0.02,0.08,0.0,0
52,46,9,28,0,2,0.0,1.0,0.0,2,0.01,0.02,0.0,0
53,22,9,220,1398,26,0.0,1.0,0.0,255,1.0,0.0,0.0,4
54,11,9,43,69,120,0.0,1.0,0.0,245,0.96,0.01,0.0,4
55,11,9,44,133,73,0.0,1.0,0.0,212,0.88,0.02,0.0,4
56,13,9,8,0,1,0.0,1.0,0.0,46,1.0,0.0,0.0,1
57,62,5,0,0,135,1.0,0.07,0.06,11,0.04,0.07,1.0,0
58,17,5,0,0,24,1.0,0.5,0.08,59,0.23,0.04,1.0,0
59,11,9,43,43,148,0.0,1.0,0.0,255,1.0,0.0,0.0,4
60,19,9,641,0,2,0.0,1.0,0.0,48,0.25,0.02,0.0,4
61,46,1,0,0,206,0.0,0.02,0.06,4,0.02,0.08,0.0,0
62,46,1,0,0,175,0.1,0.01,1.0,1,0.0,0.84,0.07,1
63,22,9,310,2794,4,0.0,1.0,0.0,255,1.0,0.0,0.0,4
64,46,1,0,0,63,0.0,0.16,0.08,10,0.04,0.07,0.0,0
65,51,9,696,333,1,0.0,1.0,0.0,133,0.39,0.04,0.0,4
66,34,4,0,0,1,0.0,1.0,0.0,1,0.0,0.58,0.0,1
67,22,5,0,0,52,1.0,0.37,0.08,67,0.26,0.02,1.0,0
68,34,1,0,0,125,0.0,0.06,0.06,6,0.02,0.07,0.0,0
69,55,5,0,0,168,1.0,0.12,0.06,21,0.08,0.06,1.0,0
70,22,9,221,2878,1,0.0,1.0,0.0,58,1.0,0.0,0.0,4
71,46,5,0,0,145,1.0,0.11,0.06,31,0.12,0.05,1.0,0
