L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
47866,80,6,7,563,2239,5,6,27,13,1
49642,80,6,7,407,112,3,2,26,653,1
46852,80,6,7,502,2239,5,6,27,39,1
49676,80,6,7,580,2239,6,6,27,600,1
48992,80,6,7,486,3812,5,7,27,136,1
53153,50472,17,12,353,0,1,0,0,0,0
64372,53,17,5.126,69,97,1,1,0,142,0
47620,80,6,7,901,2239,5,6,27,3,1
34444,80,6,7,458,2163,5,5,27,166,1
49358,80,6,7,542,3760,5,6,27,76,1
52388,53,17,5,130,146,2,2,0,3,1
50008,80,6,7,777,2239,4,6,27,154,1
35167,53,17,5.239,84,112,1,1,0,100,0
58762,80,6,7,458,2163,5,5,27,193,1
41361,15600,17,0,63,0,1,0,0,0,0
46898,80,6,7,836,2239,5,6,27,15,1
34270,80,6,7,450,696,5,4,27,106,1
50043,15600,17,0,63,0,1,0,0,0,0
56700,80,6,7,458,2203,5,6,27,286,1
34878,80,6,7,510,696,5,4,27,125,1
57884,80,6,7,458,2163,5,5,27,250,1
47064,80,6,7,601,2239,6,6,27,10,1
50915,9197,6,7,344,855,5,5,27,16,0
50339,7678,6,7,406,1945,5,6,27,16,0
58330,80,6,7,458,2163,5,5,27,204,1
35746,80,6,7.178,605,12815,5,12,27,1652,1
41718,80,6,7,565,12815,6,12,27,1333,1
56412,80,6,7,458,2163,5,5,27,240,1
50053,9197,6,7,400,3770,5,7,27,14,0
36693,53,17,5,130,146,2,2,0,3,1
57802,80,6,7,458,2163,5,5,27,201,1
49790,80,6,7,540,2239,5,6,27,60,1
46876,80,6,7,621,2239,5,6,27,12,1
0,0,2,82,96,0,3,0,0,516,0
51701,41952,6,7,518,4350,7,9,27,26,0
57636,80,6,7,458,2163,5,5,27,222,1
49086,80,6,7,513,3760,5,6,27,92,1
47806,80,6,7,526,2816,6,6,27,1000,1
53500,53,17,5,67,1195,1,1,0,158,0
58944,53,17,5,100,132,1,1,0,12,0
56518,80,6,7,770,696,5,4,27,144,1
53834,123,17,9,76,76,1,1,0,37,1
38046,53,17,5,81,405,1,1,0,350,0
38470,80,6,7.178,564,12867,6,13,27,1635,1
47594,80,6,7,804,2239,5,6,27,12,1
49344,80,6,7,164,112,3,2,19,46,1
49916,9197,6,7,344,608,5,5,27,13,0
49138,80,6,7,493,3760,5,6,27,108,1
38448,80,6,7.178,564,12815,6,12,27,1662,1
52111,9197,6,7,344,2022,5,6,27,11,0
35682,15600,17,0,63,0,1,0,0,0,0
53501,53,17,5,136,386,2,2,0,1631,1
52137,41952,6,7,518,4350,7,9,27,18,0
47686,80,6,7,568,2239,5,6,27,15,1
36048,80,6,7.178,568,12815,5,12,27,1311,1
56652,80,6,7,458,2163,5,5,27,232,1
36130,80,6,7.178,620,12815,6,12,27,1411,1
52435,53,17,5.203,66,833,1,1,0,15,0
57416,80,6,7,458,2163,5,5,27,221,1
50214,7678,6,7,406,1945,5,6,27,14,0
53634,15600,17,0,63,0,1,0,0,0,0
47568,80,6,7,584,2239,6,6,27,10,1
50475,9197,6,7,454,22815,6,19,27,25,0
42054,80,6,7,640,12867,6,13,27,1558,1
57534,80,6,7,766,696,5,4,27,179,1
47694,80,6,7,572,2239,5,6,27,12,1
35858,80,6,7.178,541,12815,6,12,27,1586,1
50307,9197,6,68,492,421,5,5,27,14,0
15422,53,17,5,71,454,1,1,0,11,0
47646,80,6,7,566,2239,6,6,27,27,1
58052,80,6,7,685,2286,6,6,27,1343,1
48010,80,6,7,394,112,3,2,26,685,1
57498,51998,17,12,440,0,1,0,0,0,0
48138,1900,17,153.12,459,0,3,0,0,613,0
49920,80,6,7,842,2187,5,5,27,140,1
47870,80,6,7,577,2239,5,6,27,15,1
41482,80,6,7.178,841,12815,6,12,27,1619,1
48014,80,6,7,104,52,2,1,17,326,1
58446,80,6,7,458,2163,5,5,27,210,1
36234,53,17,5,100,100,2,2,0,2,1
49973,9197,6,7,488,6921,5,9,27,130,0
47563,53,17,5,130,146,2,2,0,2,1
54610,53691,17,12,629,0,2,0,0,51,0
59219,53,17,5,98,114,1,1,0,12,0
54438,443,6,91.126,1760,4121,17,14,27,25552,0
5353,5353,17,8,688,0,8,0,0,31,0
56436,80,6,7,458,2163,5,5,27,269,1
47876,80,6,7,216,112,4,2,19,11,1
47044,80,6,7,573,2239,5,6,27,11,1
50104,41952,6,7,570,4350,8,9,27,17,0
