,dur,sbytes,rate,sload,sloss,sinpkt,smean,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_dst_src_ltm,ct_srv_dst,label
0,1.1e-05,496,90909.0902,180363632.0,0,0.011000000000000001,248,2,2,1,2,2,0
1,8e-06,1762,125000.0003,881000000.0,0,0.008,881,2,2,1,2,2,0
2,5e-06,1068,200000.0051,854400000.0,0,0.005,534,3,2,1,3,3,0
3,6e-06,900,166666.6608,600000000.0,0,0.006,450,3,2,2,3,3,0
4,1e-05,2126,100000.0025,850400000.0,0,0.01,1063,3,2,2,3,3,0
5,3e-06,784,333333.3215,1045333312.0,0,0.003,392,2,2,2,2,2,0
6,6e-06,1960,166666.6608,1306666624.0,0,0.006,980,2,2,2,2,2,0
7,2.8000000000000003e-05,1384,35714.28522,197714288.0,0,0.027999999999999997,692,3,2,1,3,3,0
8,0.0,46,0.0,0.0,0,60000.687999999995,46,2,2,2,2,2,0
9,0.0,46,0.0,0.0,0,60000.712,46,2,2,2,2,2,0
10,0.0,46,0.0,0.0,0,60000.687999999995,46,2,2,2,2,2,0
11,0.0,46,0.0,0.0,0,60000.712,46,2,2,2,2,2,0
12,4e-06,1454,250000.0006,1454000000.0,0,0.004,727,3,2,1,3,3,0
13,7.000000000000001e-06,2062,142857.1409,1178285696.0,0,0.006999999999999999,1031,3,2,1,3,3,0
14,1.1e-05,2040,90909.0902,741818176.0,0,0.011000000000000001,1020,1,2,1,1,1,0
15,4e-06,1052,250000.0006,1052000000.0,0,0.004,526,3,2,1,3,3,0
16,3e-06,314,333333.3215,418666656.0,0,0.003,157,2,2,1,2,2,0
17,1e-05,1774,100000.0025,709600000.0,0,0.01,887,2,2,1,2,2,0
18,2e-06,1568,500000.0013,3136000000.0,0,0.002,784,3,2,1,2,2,0
19,4e-06,2054,250000.0006,2054000000.0,0,0.004,1027,3,2,1,2,2,0
20,1e-05,2170,100000.0025,868000000.0,0,0.01,1085,2,2,1,2,2,0
21,9e-06,202,111111.1072,89777776.0,0,0.009000000000000001,101,2,2,1,2,2,0
22,1e-05,1334,100000.0025,533600000.0,0,0.01,667,3,2,1,3,3,0
23,5e-06,2058,200000.0051,1646400000.0,0,0.005,1029,3,2,2,3,3,0
24,3e-06,286,333333.3215,381333312.0,0,0.003,143,3,2,2,3,3,0
25,7.000000000000001e-06,1500,142857.1409,857142848.0,0,0.006999999999999999,750,2,2,2,2,2,0
26,6e-06,902,166666.6608,601333312.0,0,0.006,451,2,2,2,2,2,0
27,2e-06,1626,500000.0013,3252000000.0,0,0.002,813,2,2,1,1,1,0
28,7.000000000000001e-06,364,142857.1409,208000000.0,0,0.006999999999999999,182,3,2,1,1,2,0
29,1.434166,530,10.459041000000001,2660.780029,2,151.243111,53,2,1,1,1,1,0
30,7.000000000000001e-06,730,142857.1409,417142848.0,0,0.006999999999999999,365,2,2,1,2,2,0
31,1.9242869999999999,530,8.834441,1983.0722660000001,2,213.73877799999997,53,2,1,1,1,1,0
32,2.773779,7954,7.570899000000001,21302.3457,4,213.36761099999998,568,1,1,1,1,1,0
33,1e-05,794,100000.0025,317600000.0,0,0.01,397,2,2,1,2,2,0
34,1.465041,2516,11.603769999999999,12368.25391,2,157.703444,252,4,1,2,3,2,0
